Date,Team,Acquired,Relinquished,Notes
2010-01-01,Bills,,• Nic Harris,placed on IR with knee injury
2010-01-01,Panthers,,• Steve Smith / Steve Smith Sr. (Latrall),placed on IR with forearm injury
2010-01-02,49ers,,• Ricky Schmitt,placed on IR with left groin injury
2010-01-02,Bills,,• Todd Johnson,placed on IR with hamstring injury
2010-01-02,Browns,,• David Veikune,placed on IR with knee injury
2010-01-02,Colts,,• Tom Santi,placed on IR with back injury
2010-01-02,Jaguars,,• Atiyyah Ellison,placed on IR with knee injury
2010-01-04,Bengals,,• Pat Sims,placed on IR with forearm injury
2010-01-05,Cardinals,,• Jason Banks,placed on IR with ankle injury
2010-01-05,Saints,,• Charles Grant (Gabriel),placed on IR with triceps injury
2010-01-06,Chargers,,• James Holt (b),placed on IR with shoulder injury
2010-01-06,Patriots,,• Darnell Jenkins,placed on practice squad IR
2010-01-06,Patriots,,• Wes Welker,placed on IR with knee injury
2010-01-12,Falcons,• Glenn Sharpe,,activated from IR
2010-01-13,Cardinals,• Jason Banks,,activated from IR
2010-01-15,Saints,,• Rodney Leisle,placed on IR with knee injury
2010-02-08,Chiefs,• Justin Rogers (b. 1983-08-31),,activated from IR
2010-02-08,Chiefs,• Weston Dacus,,activated from IR
2010-02-09,Chargers,• Darry Beckwith,,signed free agent
2010-02-10,49ers,• Curtis Taylor,,activated from IR
2010-02-10,49ers,• Kentwan Balmer,,activated from IR
2010-02-10,49ers,• Ricky Schmitt,,activated from IR
2010-02-10,49ers,• Thomas Clayton,,activated from IR
2010-02-10,49ers,• Tony Pashos,,activated from IR
2010-02-10,49ers,• Walt Harris (Lee),,activated from IR
2010-02-10,Bears,• Adewale Ogunleye,,activated from IR
2010-02-10,Bears,• Brian Urlacher,,activated from IR
2010-02-10,Bears,• Charles Tillman,,activated from IR
2010-02-10,Bears,• Garrett Wolfe,,activated from IR
2010-02-10,Bears,• Henry Melton,,activated from IR
2010-02-10,Bears,• Israel Idonije,,activated from IR
2010-02-10,Bears,• Kevin Jones (S.),,activated from IR
2010-02-10,Bears,• Pisa Tinoisamoa,,activated from IR
2010-02-10,Bengals,• Antwan Odom,,activated from IR
2010-02-10,Bengals,• Chase Coffman,,activated from IR
2010-02-10,Bengals,• Dan Santucci,,activated from IR
2010-02-10,Bengals,• Matt Sherry,,activated from IR
2010-02-10,Bengals,• Pat Sims,,activated from IR
2010-02-10,Bengals,• Reggie Kelly,,activated from IR
2010-02-10,Bengals,• Rey Maualuga,,activated from IR
2010-02-10,Bengals,• Roy Williams (Lee),,activated from IR
2010-02-10,Bills,• Brad Butler,,activated from IR
2010-02-10,Bills,• Demetress Bell,,activated from IR
2010-02-10,Bills,• Derek Fine,,activated from IR
2010-02-10,Bills,• Derek Schouman,,activated from IR
2010-02-10,Bills,• Eric Wood,,activated from IR
2010-02-10,Bills,• Jairus Byrd,,activated from IR
2010-02-10,Bills,• Jermaine McGhee,,activated from IR
2010-02-10,Bills,• Justise Hairston,,activated from IR
2010-02-10,Bills,• Kawika Mitchell,,activated from IR
2010-02-10,Bills,• Keith Ellison,,activated from IR
2010-02-10,Bills,• Kendall Simmons,,activated from IR
2010-02-10,Bills,• Leodis McKelvin,,activated from IR
2010-02-10,Bills,• Lydell Sargeant,,activated from IR
2010-02-10,Bills,• Marcus Buggs,,activated from IR
2010-02-10,Bills,• Marcus Smith (E.),,activated from IR
2010-02-10,Bills,• Marvin Philip,,activated from IR
2010-02-10,Bills,• Nic Harris,,activated from IR
2010-02-10,Bills,• Seth McKinney,,activated from IR
2010-02-10,Bills,• Terrence McGee,,activated from IR
2010-02-10,Bills,• Todd Johnson,,activated from IR
2010-02-10,Broncos,• Darcel McBath,,activated from IR
2010-02-10,Broncos,• J'Vonne Parker,,activated from IR
2010-02-10,Broncos,• Kenny McKinley,,activated from IR
2010-02-10,Broncos,• Nick Greisen,,activated from IR
2010-02-10,Broncos,• Russ Hochstein,,activated from IR
2010-02-10,Broncos,• Ryan Harris,,activated from IR
2010-02-10,Browns,• Brady Quinn,,activated from IR
2010-02-10,Browns,• Brodney Pool,,activated from IR
2010-02-10,Browns,• Calvin Mosley / C.J. Mosley,,activated from IR
2010-02-10,Browns,• D'Qwell Jackson,,activated from IR
2010-02-10,Browns,• Dave Zastudil,,activated from IR
2010-02-10,Browns,• David Veikune,,activated from IR
2010-02-10,Browns,• Eric Barton,,activated from IR
2010-02-10,Browns,• Jamal Lewis (a),,activated from IR
2010-02-10,Browns,• James Davis (Andrew),,activated from IR
2010-02-10,Browns,• Ryan Tucker,,activated from IR
2010-02-10,Browns,• Shaun Rogers,,activated from IR
2010-02-10,Browns,• Steve Heiden,,activated from IR
2010-02-10,Browns,• Syndric Steptoe,,activated from IR
2010-02-10,Buccaneers,• Angelo Crowell,,activated from IR
2010-02-10,Buccaneers,• B.J. Askew,,activated from physically unable to perform list
2010-02-10,Buccaneers,• Byron Leftwich,,activated from IR
2010-02-10,Buccaneers,• Byron Storer,,activated from IR
2010-02-10,Buccaneers,• Clifton Smith Jr.,,activated from IR
2010-02-10,Buccaneers,• Dirk Johnson,,activated from IR
2010-02-10,Buccaneers,• Earnest Graham,,activated from IR
2010-02-10,Buccaneers,• Edjuan Biggers / E.J. Biggers,,activated from IR
2010-02-10,Buccaneers,• Jermaine Phillips,,activated from IR
2010-02-10,Buccaneers,• Jimmy Wilkerson,,activated from IR
2010-02-10,Buccaneers,• Josh Bidwell,,activated from IR
2010-02-10,Buccaneers,• Rod Wilson,,activated from IR
2010-02-10,Buccaneers,• Sammie Stroughter,,activated from IR
2010-02-10,Buccaneers,• Torrie Cox,,activated from IR
2010-02-10,Buccaneers,• Will Allen (b. 1982-06-17),,activated from IR
2010-02-10,Buccaneers,• Xavier Fulton,,activated from IR
2010-02-10,Cardinals,• Cody Brown,,activated from IR
2010-02-10,Cardinals,• Justin Green,,activated from IR
2010-02-10,Cardinals,• Matt Ware,,activated from IR
2010-02-10,Cardinals,• Mike Gandy,,activated from IR
2010-02-10,Chargers,• Antwan Applewhite,,activated from IR
2010-02-10,Chargers,• Brandon Hughes (b),,activated from IR
2010-02-10,Chargers,• Demetrius Byrd,,activated from IR
2010-02-10,Chargers,• Jamal Williams,,activated from IR
2010-02-10,Chargers,• James Holt (b),,activated from IR
2010-02-10,Chargers,• Jeromey Clary,,activated from IR
2010-02-10,Chargers,• Jyles Tucker,,activated from IR
2010-02-10,Chargers,• Ogemdi Nwagbuo,,activated from IR
2010-02-10,Chargers,• Ryon Bingham,,activated from IR
2010-02-10,Chargers,• Scott Mruczkowski,,activated from IR
2010-02-10,Chiefs,• Brad Cottam,,activated from IR
2010-02-10,Chiefs,• Colin Brown,,activated from IR
2010-02-10,Chiefs,• DaJuan Morgan,,activated from IR
2010-02-10,Chiefs,• Dantrell Savage,,activated from IR
2010-02-10,Chiefs,• Devard Darling,,activated from IR
2010-02-10,Chiefs,• Jackie Battle,,activated from IR
2010-02-10,Chiefs,• Jarrad Page,,activated from IR
2010-02-10,Chiefs,• Kolby Smith,,activated from IR
2010-02-10,Chiefs,• Maurice Leggett,,activated from IR
2010-02-10,Chiefs,• Mike Goff,,activated from IR
2010-02-10,Colts,• (Demond) Bob Sanders,,activated from IR
2010-02-10,Colts,• Anthony Gonzalez,,activated from IR
2010-02-10,Colts,• Daniel Federkeil,,activated from IR
2010-02-10,Colts,• Jamie Petrowski,,activated from IR
2010-02-10,Colts,• Jim Sorgi,,activated from IR
2010-02-10,Colts,• Marlin Jackson,,activated from IR
2010-02-10,Colts,• Roy Hall (b. 1983-12-08),,activated from IR
2010-02-10,Colts,• Rudolph Hardie,,activated from IR
2010-02-10,Colts,• Tom Santi,,activated from IR
2010-02-10,Colts,• Tyjuan Hagler,,activated from IR
2010-02-10,Cowboys,• Brandon Williams (b. 1988-06-21),,activated from IR
2010-02-10,Cowboys,• Robert Brewster,,activated from reserve/physically unable to perform list with shoulder injury
2010-02-10,Cowboys,• Stephen Hodge,,activated from IR
